latitude;longitude;Altitude;caida;Temperature_1;Temperature_2;Barometric_Pressure;pitch;rueda;yaw;Accelerometer_X;Accelerometer_Y;Accelerometer_Z
38.540562;-121.746704;-4.1;1;29.669717;29.93615;1010.032286;1.3708;-0.1564;-0.9936;0.0468;0.0936;-0.9945
38.540558;-121.746712;-2.8;1;29.687611;29.93615;1010.066541;1.4076;-0.138;-1.0212;0.039;0.0975;-0.9789
38.540558;-121.746712;-1.7;1;29.705503;29.956289;1010.085688;1.3524;-0.1288;-0.9844;0.039;0.0936;-0.9906
38.540546;-121.746719;-1.6;1;29.711467;29.956289;1010.143669;1.3984;-0.1656;-1.012;0.0312;0.0858;-1.0101
38.540543;-121.746727;-2.2;1;29.705503;29.956289;1010.029054;1.3524;-0.1748;-1.012;0.0312;0.0897;-0.9711
38.540508;-121.746758;-1.5;1;29.71743;29.96636;1010.058175;1.3984;-0.1472;-0.9936;0.0468;0.0663;-0.9711
38.540508;-121.746758;-1.1;1;29.729356;29.9865;1010.075967;1.4168;-0.1472;-1.0304;0.0273;0.078;-0.9867
38.540485;-121.746773;-1.1;1;29.735319;29.9865;1010.057088;1.4168;-0.184;-1.012;0.0429;0.0975;-0.9906
38.540482;-121.74678;-2.2;1;29.747245;29.996571;1010.079993;1.3524;-0.1288;-0.9936;0.0507;0.078;-0.9672
38.540482;-121.74678;-2.7;1;29.753207;29.996571;1010.06623;1.38;-0.2024;-0.9936;0.0507;0.0624;-0.975
38.540504;-121.746758;-3;1;29.759169;30.006639;1010.020918;1.3892;-0.1472;-0.9752;0.0351;0.0741;-0.9789
38.540512;-121.74675;-1;1;29.771093;30.026779;1010.051365;1.4168;-0.1932;-0.9844;0.0546;0.0702;-0.9672
38.540524;-121.746742;-1.7;1;29.753207;30.026779;1009.964279;1.334;-0.1748;-0.9844;0.039;0.078;-0.9828
38.540527;-121.746735;-0.9;1;29.771093;30.03685;1010.054037;1.3708;-0.1932;-0.9568;0.0273;0.0702;-0.9984
38.540527;-121.746742;-1.4;1;29.777055;30.03685;1010.090463;1.4076;-0.2024;-1.0028;0.0429;0.0819;-0.9555
38.540531;-121.746735;-1.7;1;29.788978;30.05699;1010.044043;1.3708;-0.1748;-1.0396;0.0585;0.0741;-0.9867
38.540546;-121.746719;-0.6;1;29.806861;30.05699;1010.097135;1.3524;-0.1564;-0.9844;0.0312;0.0663;-0.9984
38.54055;-121.746727;0.5;1;29.806861;30.05699;1010.051819;1.3984;-0.2116;-0.9936;0.0585;0.0351;-0.9906
38.540558;-121.746719;-1.5;1;29.830702;30.077129;1010.117564;1.426;-0.184;-0.9752;0.0312;0.0741;-0.9789
38.540562;-121.746712;-0.4;1;29.830702;30.077129;1010.078469;1.3708;-0.2116;-1.0028;0.0468;0.0858;-0.9867
38.540569;-121.746712;-1.2;1;29.836662;30.097269;1010.04336;1.3984;-0.1196;-1.0028;0.0351;0.0897;-0.9672
38.540577;-121.746704;0;1;29.842622;30.10734;1010.071123;1.3984;-0.2116;-0.9844;0.0585;0.0897;-0.9633
38.540585;-121.746696;-0.8;1;29.85454;30.10734;1010.101537;1.4076;-0.2024;-1.0028;0.0429;0.0663;-0.9672
38.540588;-121.746689;-0.6;1;29.85454;30.12748;1010.069998;1.3892;-0.1748;-1.012;0.0351;0.078;-0.9867
38.540592;-121.746689;0.6;1;29.872417;30.10734;1010.070192;1.4168;-0.1932;-0.9568;0.0429;0.0741;-0.9828
38.540592;-121.746689;0.9;1;29.8605;30.12748;1010.052438;1.426;-0.1932;-0.9752;0.0351;0.078;-0.9906
38.540592;-121.746689;-1.7;1;29.872417;30.13755;1010.051307;1.38;-0.1564;-1.012;0.0468;0.0741;-1.0023
38.540588;-121.746689;-0.9;1;29.884334;30.147619;1010.061503;1.3524;-0.1656;-0.9752;0.0351;0.0897;-0.975
38.540588;-121.746689;0.1;1;29.902209;30.147619;1010.076792;1.3984;-0.2208;-1.0396;0.0624;0.0702;-0.9867
38.540596;-121.746681;-0.2;1;29.890293;30.167761;1010.127033;1.4444;-0.2208;-1.0396;0.0507;0.0858;-0.9828
38.540604;-121.746674;0.3;1;29.908166;30.167761;1010.074332;1.3708;-0.2576;-1.0488;0.0507;0.078;-0.9945
38.540604;-121.746674;0.7;1;29.931995;30.17783;1010.071871;1.3616;-0.2208;-1.0304;0.0351;0.0936;-0.9945
38.540604;-121.746681;1.1;1;29.926038;30.17783;1010.078279;1.38;-0.2208;-1.0396;0.0468;0.078;-0.975
38.540604;-121.746681;-0.7;1;29.931995;30.187901;1010.068261;1.426;-0.2024;-1.012;0.0429;0.0975;-0.9789
38.540623;-121.74678;40.900002;1;29.937952;30.20804;1010.028022;1.4168;-0.1932;-1.0212;0.0351;0.0741;-0.975
38.540615;-121.74678;40.299999;1;29.949865;30.20804;1010.091084;1.4076;-0.1932;-1.012;0.0351;0.0741;-0.9867
38.540611;-121.746788;39.700001;1;29.955822;30.218109;1010.058397;1.3892;-0.2208;-1.0304;0.0663;0.0741;-0.9594
38.540611;-121.74678;39.5;1;29.961778;30.238251;1010.044595;1.3708;-0.0644;-1.0672;0.0429;-0.1404;-0.9711
38.540604;-121.746788;38.400002;1;29.961778;30.238251;1010.024398;-0.4876;-4.094;-8.5744;0.6357;0.2379;0.6708
38.540588;-121.746803;36.799999;1;29.979645;30.238251;1010.029628;-0.7268;-4.0756;-8.4732;0.7683;0.234;0.6084
38.540585;-121.746796;36.599998;1;29.979645;30.24832;1010.003184;-0.276;-4.4068;-8.5008;0.6864;0.3237;0.6747
38.540588;-121.746796;35.299999;1;29.991555;30.25839;1010.075099;-0.0184;-4.4344;-8.6756;0.6357;0.3237;0.6474
38.540585;-121.746796;34.599998;1;30.003465;30.27853;1010.068846;0.0736;-4.1216;-9.0528;0.6279;0.2418;0.6864
38.540573;-121.746803;34.200001;1;30.021329;30.288601;1010.087863;0.0368;-4.416;-8.5652;0.6396;0.3198;0.6981
38.540565;-121.746811;33.700001;1;30.033237;30.308741;1010.065194;-0.23;-4.4988;-8.3812;0.6162;0.3549;0.702
38.540577;-121.746803;35.700001;1;30.051098;30.31881;1010.086797;1.3248;2.2816;-9.844;0.507;-0.4836;0.6084
38.5406;-121.746796;35.5;1;30.051098;30.32888;1010.052792;2.07;2.4196;-9.7428;0.4875;-0.6123;0.6864
38.540585;-121.746796;34.200001;1;30.051098;30.32888;1010.007452;-1.9964;0.966;-7.7004;0.9594;0.3783;0.5772
38.540596;-121.746788;33.200001;1;30.068957;30.34902;1010.034004;-2.3644;0.414;-7.1576;0.8697;0.2769;0.4251
38.540604;-121.746796;35;1;30.092767;30.359091;1010.051702;-2.4104;0.506;-7.0748;0.9126;0.2652;0.4251
38.540607;-121.746796;35.400002;1;30.092767;30.359091;1010.035389;-1.0488;2.7968;-6.67;0.9399;-0.5421;0.0741
38.540611;-121.746796;34.299999;1;30.110622;30.389299;1010.073262;1.6376;4.5632;-6.2652;-0.0351;-1.1349;-0.3042
38.540619;-121.746796;35.299999;1;30.10467;30.39937;1010.02912;2.0148;3.7444;-9.0436;0.0546;-0.9555;0.2886
38.540623;-121.746796;34.700001;1;30.110622;30.39937;1010.084598;1.9688;2.622;-10.1752;0.0585;-0.7878;0.624
38.540619;-121.746803;34.599998;1;30.116574;30.41951;1010.063212;1.9964;2.6404;-10.1844;0.0585;-0.7878;0.624
38.540619;-121.746803;34.599998;1;30.134427;30.429581;1010.093519;1.9504;2.668;-10.2212;0.0468;-0.7878;0.6006
38.540615;-121.746803;34.799999;1;30.146328;30.44972;1010.050735;2.0148;2.668;-10.1936;0.0507;-0.7683;0.6084
38.540615;-121.746803;34.799999;1;30.158229;30.459789;1010.091088;2.0148;2.6312;-10.212;0.0507;-0.7878;0.6318
38.540615;-121.746811;35.700001;1;30.164179;30.46986;1010.068413;1.978;2.7508;-10.12;0.0351;-0.7917;0.6084
38.540611;-121.746811;35.5;1;30.158229;30.46986;1010.045738;1.9964;2.668;-10.1752;0.0624;-0.78;0.6084
38.540607;-121.746819;35.799999;1;30.182028;30.49;1010.077305;1.978;2.668;-10.166;0.0507;-0.7722;0.6279
38.540604;-121.746834;38.099998;1;30.182028;30.49;1010.062187;1.9596;2.7048;-10.1384;0.0507;-0.7917;0.6084
38.5406;-121.746834;38.799999;1;30.193926;30.500071;1010.087415;1.9872;2.6956;-10.1936;0.0546;-0.8073;0.5967
38.540596;-121.746841;38.5;1;30.211773;30.510139;1010.045841;2.024;2.6496;-10.2212;0.0351;-0.7839;0.5772
38.540592;-121.746841;38.5;1;30.223669;30.510139;1010.097558;1.978;2.7048;-10.2212;0.0585;-0.7722;0.6123
38.540596;-121.746841;38.299999;1;30.217721;30.530279;1010.058491;1.978;2.714;-10.1568;0.0663;-0.8034;0.6201
38.540592;-121.746841;37.599998;1;30.247461;30.54035;1010.028281;1.9688;2.7416;-10.1016;0.0468;-0.7956;0.6045
38.540592;-121.746834;36.900002;1;30.241513;30.54035;1010.040888;1.9872;2.668;-10.1568;0.0663;-0.7956;0.6006
38.540592;-121.746834;36.799999;1;30.253408;30.56049;1010.054761;1.9872;2.6864;-10.1936;0.0468;-0.7761;0.624
38.540588;-121.746841;36.200001;1;30.265302;30.57056;1010.083751;1.9872;2.6128;-10.212;0.0546;-0.8073;0.6123
38.540588;-121.746841;37.200001;1;30.277196;30.580629;1010.056037;1.9688;2.6772;-10.212;0.0585;-0.7878;0.6006
38.540588;-121.746841;36.799999;1;30.289088;30.580629;1010.077461;1.978;2.668;-10.1108;0.0624;-0.7761;0.6201
38.540588;-121.746841;35.5;1;30.30098;30.600771;1010.086281;1.9412;2.668;-10.1568;0.0585;-0.7917;0.5928
38.540585;-121.746841;33.5;1;30.312872;30.61084;1010.052253;1.9688;2.6496;-10.0648;0.0546;-0.7995;0.6123
38.540585;-121.746841;33.700001;1;30.312872;30.61084;1010.029571;1.9964;2.6864;-10.1568;0.0546;-0.7878;0.6123
